isBadBuy,VehYear,VehicleAge,WheelTypeID,VehOdo,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,BYRNO,VehBCost,IsOnlineSale,WarrantyCost,aAuction,aMake,aModel,aTrim,aSubModel,aColor,aTransmission,aWheelType,aNationality,aSize,aTopThreeAmericanName,aPRIMEUNIT,aAUCGUART,aVNZIP1,aVNST
FALSE,0.99801,0.33333,0.25,0.76952,0.22829,0.26666,0.29775,0.32785,0.20858,0.23202,0.29675,0.3022,0.22026,0.15615,0,0.14844,a1,a1,a1,a1,a1,a1,a1,a1,a1,a1,a1,a1,a1,a1,a1
FALSE,0.99701,0.55556,0.25,0.80881,0.19187,0.22743,0.27884,0.30307,0.20872,0.2502,0.29104,0.3115,0.19685,0.16715,0,0.14044,a1,a2,a2,a2,a2,a2,a1,a1,a2,a2,a2,a1,a1,a1,a1
FALSE,0.99751,0.44444,0.5,0.63782,0.089637,0.12914,0.17766,0.20387,0.11296,0.15076,0.18286,0.21192,0.19685,0.10777,0,0.18525,a1,a2,a3,a3,a3,a3,a1,a2,a2,a1,a2,a1,a1,a1,a1
FALSE,0.99701,0.55556,0.25,0.56705,0.052993,0.072574,0.11919,0.13717,0.051621,0.071787,0.11195,0.13438,0.19685,0.090171,0,0.084022,a1,a2,a4,a3,a4,a4,a1,a1,a2,a3,a2,a1,a1,a1,a1
FALSE,0.99751,0.44444,0.5,0.59945,0.10954,0.13712,0.19762,0.2099,0.090896,0.11894,0.17244,0.19266,0.19685,0.087972,0,0.13604,a1,a3,a5,a4,a5,a4,a2,a2,a2,a3,a3,a1,a1,a1,a1
FALSE,0.99701,0.55556,0.5,0.70045,0.1092,0.13316,0.1716,0.20676,0.13182,0.15809,0.20852,0.23016,0.19685,0.12316,0,0.079221,a1,a4,a6,a5,a6,a2,a1,a2,a1,a1,a1,a1,a1,a1,a1
FALSE,0.99701,0.55556,0.5,0.56455,0.08303,0.10955,0.15967,0.20481,0.083422,0.11164,0.15942,0.20951,0.19685,0.092371,0,0.071086,a1,a5,a7,a6,a7,a5,a1,a2,a1,a1,a1,a1,a1,a1,a1
FALSE,0.99751,0.44444,0.5,0.56867,0.092744,0.1178,0.1706,0.18579,0.10394,0.1242,0.17764,0.20072,0.19685,0.098969,0,0.11003,a1,a3,a8,a7,a8,a2,a1,a2,a2,a1,a3,a1,a1,a1,a1
FALSE,0.99851,0.22222,0.5,0.43141,0.17345,0.19735,0.24788,0.25611,0.17964,0.19998,0.2466,0.26248,0.22026,0.12316,0,0.064284,a1,a5,a7,a6,a7,a5,a1,a2,a1,a1,a1,a1,a1,a1,a1
FALSE,0.99851,0.22222,0.25,0.73344,0.21961,0.26458,0.30026,0.3292,0.25662,0.29811,0.3219,0.36153,0.22026,0.16935,0,0.21779,a1,a3,a9,a8,a9,a1,a1,a1,a2,a4,a3,a1,a1,a1,a1
FALSE,0.99751,0.44444,0.25,0.69203,0.14677,0.17979,0.22641,0.25211,0.1599,0.20489,0.24294,0.28403,0.055593,0.12096,0,0.18312,a1,a6,a10,a9,a10,a4,a1,a1,a2,a2,a4,a1,a1,a1,a1
FALSE,0.99552,0.88889,0.25,0.65175,0.088685,0.1172,0.14908,0.16301,0.080371,0.10369,0.14672,0.15973,0.055593,0.11656,0,0.1159,a1,a3,a11,a10,a11,a2,a2,a1,a2,a2,a3,a1,a1,a1,a1
TRUE,0.99751,0.44444,0.25,0.68542,0.11827,0.14596,0.20241,0.24367,0.13457,0.16487,0.21809,0.24655,0.19685,0.11876,0,0.21646,a1,a2,a12,a7,a12,a1,a1,a1,a2,a5,a2,a1,a1,a1,a1
FALSE,0.99751,0.44444,0.5,0.61576,0.15912,0.18777,0.22968,0.26009,0.16729,0.19507,0.23987,0.26253,0.19685,0.17155,0,0.091491,a1,a7,a13,a11,a4,a2,a1,a2,a3,a1,a1,a1,a1,a1,a1
FALSE,0.99801,0.33333,0.25,0.64573,0.19593,0.26398,0.2749,0.33909,0.22261,0.26886,0.31041,0.33695,0.19685,0.15175,0,0.21646,a1,a2,a12,a3,a13,a6,a1,a1,a2,a5,a2,a1,a1,a1,a1
FALSE,0.99652,0.66667,0.5,0.62335,0.062371,0.087279,0.13449,0.18295,0.059571,0.072981,0.12423,0.13409,0.055593,0.072577,0,0.19405,a1,a8,a14,a11,a14,a2,a2,a2,a2,a3,a4,a1,a1,a1,a1
FALSE,0.99751,0.44444,0.25,0.6977,0.18874,0.21571,0.28321,0.31062,0.21471,0.24849,0.32231,0.3663,0.19685,0.14955,0,0.16578,a1,a8,a15,a12,a15,a2,a1,a1,a2,a6,a4,a1,a1,a1,a1
