RefId,IsBadBuy
73015,1
73016,1
73017,0
73018,1
73019,1
73020,1
73021,0
73022,1
73023,0
73024,1
73025,1
73026,0
73027,1
73028,1
73029,1
73030,1
73031,1
73032,1
73033,1
73034,1
73035,1
73036,1
73037,1
73038,1
73039,1
73040,0
73041,1
73042,1
73043,1
73044,0
73045,1
73046,1
73047,1
73048,1
73049,1
73050,1
73051,1
73052,0
73053,1
73054,1
73055,1
73056,1
73057,1
73058,1
73059,1
73060,1
73061,1
73062,1
73063,1
73064,1
73065,0
73066,0
73067,1
73068,1
73069,0
73070,0
73071,1
73072,1
73073,1
73074,1
73075,1
73076,1
73077,0
73078,1
73079,1
73080,1
73081,1
73082,0
73083,1
73084,1
73085,1
73086,1
73087,1
73088,1
73089,1
73090,1
73091,1
73092,1
73093,1
73094,1
73095,1
73096,1
73097,1
73098,1
73099,0
73100,0
73101,1
73102,0
73103,1
73104,0
73105,1
73106,1
73107,1
73108,1
73109,1
73110,1
73111,1
73112,1
73113,1
73114,1
73115,1
73116,0
73117,1
73118,0
73119,0
73120,1
73121,1
73122,1
73123,0
73124,1
73125,0
73126,1
73127,0
73128,1
73129,1
73130,0
73131,1
73132,1
73133,0
73134,1
73135,1
73136,1
73137,1
73138,1
73139,1
73140,1
73141,1
73142,1
73143,1
73144,1
73145,1
73146,1
73147,1
73148,1
73149,1
73150,1
73151,1
73152,0
73153,1
73154,1
73155,1
73156,0
73157,1
73158,1
73159,1
73160,0
73161,1
73162,1
73163,1
73164,1
73165,1
73166,1
73167,1
73168,0
73169,1
73170,1
73171,1
73172,1
73173,1
73174,1
73175,1
73176,0
73177,1
73178,1
73179,0
73180,1
73181,1
73182,0
73183,1
73184,0
73185,1
73186,1
73187,1
73188,1
73189,1
73190,1
73191,1
73192,1
73193,1
73194,1
73195,1
73196,1
73197,1
73198,0
73199,1
73200,0
73201,1
73202,0
73203,1
73204,0
73205,1
73206,0
73207,1
73208,0
73209,1
73210,1
73211,1
73212,1
73213,0
73214,1
