Instance_number,'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
0,20167,0,2818,0,1,1,0.877398,1,0.122602,0.934696,1,1,0
1,20167,0,2817,1,0.999645,1,0.877436,1,0.122564,0.934718,0.999956,1.000044,0
2,20166,1,2817,1,0.999645,0.99995,0.877431,0.99995,0.122569,0.934693,0.999913,1.000037,0
3,20166,1,2816,2,0.99929,0.99995,0.877469,0.99995,0.122531,0.934715,0.999869,1.000081,0
4,20166,1,2815,3,0.998935,0.99995,0.877508,0.99995,0.122492,0.934736,0.999826,1.000124,0
5,20166,1,2814,4,0.998581,0.99995,0.877546,0.99995,0.122454,0.934758,0.999782,1.000168,0
6,20166,1,2813,5,0.998226,0.99995,0.877584,0.99995,0.122416,0.93478,0.999739,1.000212,0
7,20166,1,2812,6,0.997871,0.99995,0.877622,0.99995,0.122378,0.934801,0.999695,1.000255,0
8,20166,1,2811,7,0.997516,0.99995,0.87766,0.99995,0.12234,0.934823,0.999652,1.000299,0
9,20166,1,2810,8,0.997161,0.99995,0.877698,0.99995,0.122302,0.934845,0.999608,1.000342,0
10,20166,1,2809,9,0.996806,0.99995,0.877737,0.99995,0.122263,0.934866,0.999565,1.000386,0
11,20166,1,2808,10,0.996451,0.99995,0.877775,0.99995,0.122225,0.934888,0.999521,1.000429,0
12,20166,1,2807,11,0.996097,0.99995,0.877813,0.99995,0.122187,0.93491,0.999478,1.000473,0
13,20166,1,2806,12,0.995742,0.99995,0.877851,0.99995,0.122149,0.934931,0.999434,1.000516,0
14,20165,2,2806,12,0.995742,0.999901,0.877846,0.999901,0.122154,0.934907,0.999391,1.00051,0
15,20165,2,2805,13,0.995387,0.999901,0.877884,0.999901,0.122116,0.934928,0.999347,1.000554,0
16,20164,3,2805,13,0.995387,0.999851,0.877879,0.999851,0.122121,0.934904,0.999304,1.000548,0
17,20164,3,2804,14,0.995032,0.999851,0.877917,0.999851,0.122083,0.934925,0.99926,1.000591,0
18,20164,3,2803,15,0.994677,0.999851,0.877955,0.999851,0.122045,0.934947,0.999217,1.000635,0
19,20164,3,2802,16,0.994322,0.999851,0.877994,0.999851,0.122006,0.934969,0.999173,1.000678,0
20,20164,3,2801,17,0.993967,0.999851,0.878032,0.999851,0.121968,0.93499,0.99913,1.000722,0
21,20164,3,2800,18,0.993612,0.999851,0.87807,0.999851,0.12193,0.935012,0.999086,1.000766,0
22,20164,3,2799,19,0.993258,0.999851,0.878108,0.999851,0.121892,0.935034,0.999043,1.000809,0
23,20164,3,2798,20,0.992903,0.999851,0.878147,0.999851,0.121853,0.935055,0.998999,1.000853,0
24,20164,3,2797,21,0.992548,0.999851,0.878185,0.999851,0.121815,0.935077,0.998956,1.000896,0
25,20164,3,2796,22,0.992193,0.999851,0.878223,0.999851,0.121777,0.935099,0.998912,1.00094,0
26,20164,3,2795,23,0.991838,0.999851,0.878261,0.999851,0.121739,0.93512,0.998869,1.000984,0
27,20163,4,2795,23,0.991838,0.999802,0.878256,0.999802,0.121744,0.935096,0.998825,1.000977,0
28,20163,4,2794,24,0.991483,0.999802,0.878294,0.999802,0.121706,0.935117,0.998782,1.001021,0
29,20163,4,2793,25,0.991128,0.999802,0.878332,0.999802,0.121668,0.935139,0.998738,1.001065,0
30,20163,4,2792,26,0.990774,0.999802,0.878371,0.999802,0.121629,0.935161,0.998695,1.001108,0
31,20163,4,2791,27,0.990419,0.999802,0.878409,0.999802,0.121591,0.935182,0.998651,1.001152,0
32,20163,4,2790,28,0.990064,0.999802,0.878447,0.999802,0.121553,0.935204,0.998608,1.001196,0
33,20163,4,2789,29,0.989709,0.999802,0.878486,0.999802,0.121514,0.935226,0.998564,1.001239,0
34,20163,4,2788,30,0.989354,0.999802,0.878524,0.999802,0.121476,0.935247,0.998521,1.001283,0
35,20163,4,2787,31,0.988999,0.999802,0.878562,0.999802,0.121438,0.935269,0.998477,1.001326,0
36,20163,4,2786,32,0.988644,0.999802,0.8786,0.999802,0.1214,0.935291,0.998434,1.00137,0
37,20163,4,2785,33,0.98829,0.999802,0.878639,0.999802,0.121361,0.935313,0.99839,1.001414,0
38,20163,4,2784,34,0.987935,0.999802,0.878677,0.999802,0.121323,0.935334,0.998347,1.001457,0
39,20163,4,2783,35,0.98758,0.999802,0.878715,0.999802,0.121285,0.935356,0.998303,1.001501,0
40,20163,4,2782,36,0.987225,0.999802,0.878754,0.999802,0.121246,0.935378,0.99826,1.001545,0
41,20163,4,2781,37,0.98687,0.999802,0.878792,0.999802,0.121208,0.935399,0.998216,1.001588,0
42,20163,4,2780,38,0.986515,0.999802,0.87883,0.999802,0.12117,0.935421,0.998173,1.001632,0
43,20163,4,2779,39,0.98616,0.999802,0.878868,0.999802,0.121132,0.935443,0.998129,1.001676,0
44,20163,4,2778,40,0.985806,0.999802,0.878907,0.999802,0.121093,0.935464,0.998086,1.001719,0
45,20162,5,2778,40,0.985806,0.999752,0.878901,0.999752,0.121099,0.93544,0.998042,1.001713,0
46,20161,6,2778,40,0.985806,0.999702,0.878896,0.999702,0.121104,0.935415,0.997999,1.001707,0
47,20161,6,2777,41,0.985451,0.999702,0.878935,0.999702,0.121065,0.935437,0.997955,1.001751,0
48,20161,6,2776,42,0.985096,0.999702,0.878973,0.999702,0.121027,0.935458,0.997912,1.001795,0
49,20161,6,2775,43,0.984741,0.999702,0.879011,0.999702,0.120989,0.93548,0.997868,1.001838,0
50,20161,6,2774,44,0.984386,0.999702,0.879049,0.999702,0.120951,0.935502,0.997825,1.001882,0
51,20161,6,2773,45,0.984031,0.999702,0.879088,0.999702,0.120912,0.935524,0.997781,1.001926,0
52,20161,6,2772,46,0.983676,0.999702,0.879126,0.999702,0.120874,0.935545,0.997738,1.001969,0
53,20160,7,2771,47,0.983322,0.999653,0.879159,0.999653,0.120841,0.935542,0.997651,1.002007,0
54,20160,7,2770,48,0.982967,0.999653,0.879198,0.999653,0.120802,0.935564,0.997607,1.002051,0
55,20160,7,2769,49,0.982612,0.999653,0.879236,0.999653,0.120764,0.935586,0.997564,1.002094,0
56,20160,7,2768,50,0.982257,0.999653,0.879274,0.999653,0.120726,0.935607,0.99752,1.002138,0
57,20160,7,2767,51,0.981902,0.999653,0.879313,0.999653,0.120687,0.935629,0.997477,1.002182,0
58,20159,8,2767,51,0.981902,0.999603,0.879307,0.999603,0.120693,0.935604,0.997433,1.002176,0
59,20159,8,2766,52,0.981547,0.999603,0.879346,0.999603,0.120654,0.935626,0.99739,1.00222,0
60,20159,8,2765,53,0.981192,0.999603,0.879384,0.999603,0.120616,0.935648,0.997346,1.002263,0
61,20159,8,2764,54,0.980837,0.999603,0.879422,0.999603,0.120578,0.93567,0.997303,1.002307,0
62,20158,9,2764,54,0.980837,0.999554,0.879417,0.999554,0.120583,0.935645,0.997259,1.002301,0
63,20158,9,2763,55,0.980483,0.999554,0.879456,0.999554,0.120544,0.935667,0.997216,1.002345,0
64,20158,9,2762,56,0.980128,0.999554,0.879494,0.999554,0.120506,0.935688,0.997172,1.002388,0
65,20158,9,2761,57,0.979773,0.999554,0.879532,0.999554,0.120468,0.93571,0.997129,1.002432,0
66,20158,9,2760,58,0.979418,0.999554,0.879571,0.999554,0.120429,0.935732,0.997085,1.002476,0
67,20158,9,2759,59,0.979063,0.999554,0.879609,0.999554,0.120391,0.935753,0.997042,1.00252,0
68,20158,9,2758,60,0.978708,0.999554,0.879647,0.999554,0.120353,0.935775,0.996998,1.002563,0
69,20157,10,2758,60,0.978708,0.999504,0.879642,0.999504,0.120358,0.93575,0.996955,1.002557,0
70,20157,10,2757,61,0.978353,0.999504,0.879681,0.999504,0.120319,0.935772,0.996911,1.002601,0
71,20157,10,2756,62,0.977999,0.999504,0.879719,0.999504,0.120281,0.935794,0.996868,1.002645,0
72,20157,10,2755,63,0.977644,0.999504,0.879757,0.999504,0.120243,0.935816,0.996824,1.002689,0
73,20157,10,2754,64,0.977289,0.999504,0.879796,0.999504,0.120204,0.935837,0.996781,1.002732,0
74,20156,11,2754,64,0.977289,0.999455,0.87979,0.999455,0.12021,0.935813,0.996737,1.002726,0
75,20156,11,2753,65,0.976934,0.999455,0.879829,0.999455,0.120171,0.935834,0.996693,1.00277,0
76,20156,11,2752,66,0.976579,0.999455,0.879867,0.999455,0.120133,0.935856,0.99665,1.002814,0
77,20156,11,2751,67,0.976224,0.999455,0.879906,0.999455,0.120094,0.935878,0.996606,1.002858,0
78,20155,12,2751,67,0.976224,0.999405,0.8799,0.999405,0.1201,0.935853,0.996563,1.002852,0
79,20155,12,2750,68,0.975869,0.999405,0.879939,0.999405,0.120061,0.935875,0.996519,1.002896,0
80,20155,12,2749,69,0.975515,0.999405,0.879977,0.999405,0.120023,0.935897,0.996476,1.002939,0
81,20155,12,2748,70,0.97516,0.999405,0.880016,0.999405,0.119984,0.935918,0.996432,1.002983,0
82,20155,12,2747,71,0.974805,0.999405,0.880054,0.999405,0.119946,0.93594,0.996389,1.003027,0
83,20155,12,2746,72,0.97445,0.999405,0.880093,0.999405,0.119907,0.935962,0.996345,1.003071,0
84,20155,12,2745,73,0.974095,0.999405,0.880131,0.999405,0.119869,0.935983,0.996302,1.003115,0
85,20154,13,2745,73,0.974095,0.999355,0.880126,0.999355,0.119874,0.935959,0.996258,1.003109,0
86,20154,13,2744,74,0.97374,0.999355,0.880164,0.999355,0.119836,0.93598,0.996215,1.003152,0
