@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,2818,0,20167,0,1,1,0.122602,1,0.877398,0.218424,1,1,0.019515
1,2817,1,20105,62,0.996926,0.999645,0.122895,0.999645,0.877105,0.218881,0.997259,1.002393,0.024606
2,2817,1,20064,103,0.994893,0.999645,0.123115,0.999645,0.876885,0.21923,0.995475,1.004189,0.025426
3,2817,1,20056,111,0.994496,0.999645,0.123158,0.999645,0.876842,0.219299,0.995127,1.00454,0.026914
4,2815,3,19952,215,0.989339,0.998935,0.123644,0.998935,0.876356,0.220051,0.990516,1.0085,0.032008
5,2815,3,19942,225,0.988843,0.998935,0.123698,0.998935,0.876302,0.220137,0.99008,1.008944,0.033602
6,2815,3,19921,246,0.987802,0.998935,0.123812,0.998935,0.876188,0.220318,0.989167,1.009876,0.033869
7,2814,4,19802,365,0.981901,0.998581,0.124425,0.998581,0.875575,0.221279,0.983946,1.014873,0.034986
8,2814,4,19771,396,0.980364,0.998581,0.124596,0.998581,0.875404,0.221549,0.982597,1.016266,0.039299
9,2814,4,19770,397,0.980314,0.998581,0.124601,0.998581,0.875399,0.221557,0.982554,1.016311,0.040397
10,2749,69,17979,2188,0.891506,0.975515,0.132623,0.975515,0.867377,0.2335,0.901806,1.081735,0.041144
11,2749,69,17974,2193,0.891258,0.975515,0.132655,0.975515,0.867345,0.23355,0.901588,1.081996,0.042925
12,2749,69,17961,2206,0.890613,0.975515,0.132738,0.975515,0.867262,0.233679,0.901022,1.082675,0.043932
13,2749,69,17917,2250,0.888432,0.975515,0.13302,0.975515,0.86698,0.234117,0.899108,1.08498,0.046091
14,2749,69,17911,2256,0.888134,0.975515,0.133059,0.975515,0.866941,0.234177,0.898847,1.085295,0.048067
15,2746,72,17856,2311,0.885407,0.97445,0.133288,0.97445,0.866712,0.2345,0.896324,1.087163,0.050654
16,2718,100,17120,3047,0.848912,0.964514,0.13701,0.964514,0.86299,0.239936,0.863085,1.117519,0.05089
17,2718,100,17119,3048,0.848862,0.964514,0.137017,0.964514,0.862983,0.239947,0.863041,1.117576,0.05158
18,2718,100,17116,3051,0.848713,0.964514,0.137037,0.964514,0.862963,0.239979,0.862911,1.117745,0.052294
19,2713,105,16826,3341,0.834333,0.96274,0.138851,0.96274,0.861149,0.242698,0.850076,1.132533,0.053249
20,2713,105,16824,3343,0.834234,0.96274,0.138865,0.96274,0.861135,0.24272,0.849989,1.132649,0.053788
21,2713,105,16797,3370,0.832895,0.96274,0.139057,0.96274,0.860943,0.243013,0.848814,1.134217,0.055268
22,2529,289,13600,6567,0.674369,0.897445,0.156798,0.897445,0.843202,0.266955,0.701719,1.278924,0.055524
23,2529,289,13597,6570,0.67422,0.897445,0.156827,0.897445,0.843173,0.266997,0.701588,1.279162,0.056273
24,2526,292,13593,6574,0.674022,0.89638,0.156709,0.89638,0.843291,0.266779,0.701283,1.2782,0.057707
25,2524,294,13582,6585,0.673476,0.895671,0.156712,0.895671,0.843288,0.266751,0.700718,1.278219,0.059562
26,2524,294,13577,6590,0.673229,0.895671,0.15676,0.895671,0.84324,0.266822,0.7005,1.278616,0.06015
27,2522,296,13482,6685,0.668518,0.894961,0.157586,0.894961,0.842414,0.267984,0.69628,1.285346,0.062077
28,2522,296,13473,6694,0.668072,0.894961,0.157674,0.894961,0.842326,0.268112,0.695889,1.286069,0.063902
29,2520,298,13439,6728,0.666386,0.894251,0.157905,0.894251,0.842095,0.268413,0.694322,1.287948,0.065366
30,2510,308,13255,6912,0.657262,0.890703,0.159213,0.890703,0.840787,0.270139,0.685882,1.298624,0.066543
31,2510,308,13254,6913,0.657212,0.890703,0.159224,0.890703,0.840776,0.270154,0.685839,1.298706,0.068504
32,2501,317,13125,7042,0.650816,0.887509,0.160054,0.887509,0.839946,0.271199,0.679835,1.305477,0.069029
33,2289,529,10517,9650,0.521496,0.812278,0.178744,0.812278,0.821256,0.293011,0.557146,1.457927,0.069344
34,2289,529,10508,9659,0.521049,0.812278,0.17887,0.812278,0.82113,0.29318,0.556754,1.458952,0.070266
35,2286,532,10500,9667,0.520653,0.811214,0.178789,0.811214,0.821211,0.293002,0.556276,1.458294,0.071219
36,2218,600,9725,10442,0.482223,0.787083,0.185715,0.787083,0.814285,0.300522,0.5196,1.514787,0.0715
37,2218,600,9714,10453,0.481678,0.787083,0.185887,0.787083,0.814113,0.300746,0.519121,1.516184,0.072493
38,2217,601,9712,10455,0.481579,0.786728,0.18585,0.786728,0.81415,0.300671,0.518991,1.515881,0.072658
39,2217,601,9710,10457,0.48148,0.786728,0.185881,0.786728,0.814119,0.300712,0.518904,1.516135,0.074307
40,2217,601,9708,10459,0.48138,0.786728,0.185912,0.786728,0.814088,0.300753,0.518817,1.51639,0.075683
41,2217,601,9688,10479,0.480389,0.786728,0.186224,0.786728,0.813776,0.301161,0.517946,1.518937,0.077395
42,2215,603,9650,10517,0.478504,0.786018,0.186684,0.786018,0.813316,0.301709,0.516206,1.522683,0.079631
43,2212,606,9636,10531,0.47781,0.784954,0.186698,0.784954,0.813302,0.30165,0.515467,1.522803,0.08106
44,2212,606,9635,10532,0.477761,0.784954,0.186714,0.784954,0.813286,0.301671,0.515423,1.522931,0.082129
45,2212,606,9629,10538,0.477463,0.784954,0.186809,0.784954,0.813191,0.301794,0.515162,1.523703,0.086643
46,2168,650,9078,11089,0.450141,0.76934,0.19278,0.76934,0.80722,0.308305,0.489276,1.572406,0.087921
47,2168,650,9074,11093,0.449943,0.76934,0.192848,0.76934,0.807152,0.308393,0.489102,1.572966,0.08858
48,2105,713,8355,11812,0.414291,0.746984,0.201243,0.746984,0.798757,0.317066,0.455079,1.641436,0.088922
49,2103,715,8326,11841,0.412853,0.746274,0.201649,0.746274,0.798351,0.317506,0.453731,1.644751,0.090133
50,2103,715,8325,11842,0.412803,0.746274,0.201669,0.746274,0.798331,0.31753,0.453687,1.644909,0.090335
51,2103,715,8318,11849,0.412456,0.746274,0.201804,0.746274,0.798196,0.317698,0.453383,1.646014,0.090482
52,2103,715,8317,11850,0.412406,0.746274,0.201823,0.746274,0.798177,0.317722,0.453339,1.646171,0.091682
53,2103,715,8314,11853,0.412258,0.746274,0.201882,0.746274,0.798118,0.317794,0.453209,1.646646,0.092722
54,2087,731,8212,11955,0.4072,0.740596,0.202641,0.740596,0.797359,0.318213,0.448075,1.65284,0.093134
55,2087,731,8210,11957,0.407101,0.740596,0.20268,0.740596,0.79732,0.318262,0.447988,1.653161,0.094021
56,2082,736,8140,12027,0.40363,0.738822,0.203678,0.738822,0.796322,0.319325,0.444725,1.661301,0.096494
57,1951,867,6858,13309,0.34006,0.692335,0.221478,0.692335,0.778522,0.335598,0.38325,1.806484,0.096922
58,1951,867,6855,13312,0.339912,0.692335,0.221553,0.692335,0.778447,0.335685,0.383119,1.8071,0.098172
59,1951,867,6847,13320,0.339515,0.692335,0.221755,0.692335,0.778245,0.335916,0.382771,1.808743,0.101857
60,1951,867,6845,13322,0.339416,0.692335,0.221805,0.692335,0.778195,0.335974,0.382684,1.809154,0.10364
61,1951,867,6844,13323,0.339366,0.692335,0.221831,0.692335,0.778169,0.336003,0.382641,1.80936,0.106547
